Level1,Level2,Level3,Level4,Federal,Total,Paper_ID,Top_Words1,Top_Topic1,KCluster
2005-2008,0,Causal inference in sensorimotor integration,A Bayesian Model of Conditioned Perception,0.0,0.0,3141,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,0,Causal inference in sensorimotor integration,Characterizing response behavior in multisensory perception with conflicting cues,0.38,0.38,3141,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2005-2008,0,Causal inference in sensorimotor integration,"Multisensory Encoding, Decoding, and Identification",0.893,0.893,3141,"[u'graph', u'model', u'target', u'information', u'one', u'different', u'visual', u'two', u'figure', u'data']",[1],1
2014-2017,1,Online Learning with Gaussian Payoffs and Side Observations,Causal Bandits: Learning Good Interventions via Causal Inference,0.083,0.083,6033,"[u'lower', u'algorithm', u'problem', u'bounds', u'action', u'bound', u'feedback', u'log', u'regret', u'minimax']",[9],6
2011-2014,2,Adaptive dropout for training deep neural networks,Altitude Training: Strong Bounds for Single-Layer Dropout,54.561,54.561,5032,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,2,Adaptive dropout for training deep neural networks,Variational Dropout and the Local Reparameterization Trick,0.052,0.052,5032,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2011-2014,2,Adaptive dropout for training deep neural networks,Improved Dropout for Shallow and Deep Learning,0.105,0.105,5032,"[u'network', u'training', u'layer', u'learning', u'networks', u'image', u'neural', u'layers', u'object', u'using']",[9],8
2014-2017,3,Bayesian Optimization with Exponential Convergence,Gaussian Process Bandit Optimisation with Multi-fidelity Evaluations,83.099,83.099,5715,"[u'bound', u'optimization', u'function', u'algorithm', u'imgpo', u'regret', u'ucb', u'global', u'max', u'interval']",[4],4
2002-2005,4,Infinite latent feature models and the Indian buffet process,Modeling Dyadic Data with Binary Latent Factors,2.075,2.075,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,0.059,0.059,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Particle Filtering for Nonparametric Bayesian Matrix Factorization,0.146,0.146,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,The Infinite Gamma-Poisson Feature Model,0.146,0.146,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Analyzing human feature learning as nonparametric Bayesian inference,61.661,61.661,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Indian Buffet Processes with Power-law Behavior,0.175,0.175,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,25.456,25.456,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Sharing Features among Dynamical Systems with Beta Processes,29.19,29.19,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Construction of Nonparametric Bayesian Models from Parametric Bayes Equations,2.629,2.629,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Bayesian Nonparametric Models on Decomposable Graphs,676.467,676.467,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
2002-2005,4,Infinite latent feature models and the Indian buffet process,Learning invariant features using the Transformed Indian Buffet Process,4.317,4.317,2882,"[u'features', u'means', u'feature', u'data', u'model', u'number', u'error', u'using', u'learning', u'two']",[1],1
